user_id,menu_id
86396,34
86396,23
86396,19
86396,61
86396,78
86396,41
86396,98
86396,1
75947,95
46492,23
46492,47
93407,49
93407,80
70134,72
70134,4
77386,38
77386,3
77386,62
77386,77
77386,4
45568,82
45568,48
22231,47
66797,85
66797,29
66797,92
88730,36
88730,91
88730,87
88730,24
88730,60
88730,5
88730,81
88730,96
88730,4
88730,71
88097,39
88097,56
88097,25
88097,80
88097,86
88097,49
88097,18
88097,11
98923,57
98923,85
98923,38
98923,87
98923,42
98923,40
98923,36
98923,65
98923,97
98923,68
35975,35
35975,39
35975,47
35975,9
35975,60
35975,67
35975,1
35975,76
35975,78
35975,75
34005,81
34005,43
94504,90
79960,43
82954,27
82954,15
82954,65
32144,60
32144,100
32144,2
32144,66
32144,55
32144,7
34826,36
58604,27
58604,87
58604,40
58604,10
58604,78
58604,59
87268,71
87268,44
87268,93
55881,6
55881,70
57953,97
57953,37
57953,73
57953,14
57953,82
63204,2
63204,28
63204,12
63204,80
63204,73
63204,81
63204,75
63204,79
60471,100
60471,24
60471,40
60471,10
60471,59
60471,87
60471,50
60471,39
43349,62
43349,42
43349,37
43349,66
43349,51
43349,67
43349,38
43349,54
43349,98
43349,34
35636,90
35636,46
35636,41
35636,68
35636,24
35636,10
99816,16
99816,58
99816,37
99816,83
99816,85
99816,78
99816,24
99816,96
99816,98
22945,38
22945,75
22945,93
22945,66
22945,1
22945,32
22945,23
22945,72
89308,19
89308,69
89308,17
89308,42
89308,50
89308,43
89308,8
89308,63
60863,87
60863,99
60863,68
60863,63
60863,38
60863,11
60863,100
73819,58
641,92
641,77
641,30
641,50
641,41
90408,86
90408,14
90408,54
90408,51
90408,60
90408,20
29530,30
66346,39
66346,97
66346,55
66346,32
66346,5
66346,80
66346,38
61739,3
61739,26
61739,25
61739,33
61739,39
18414,35
18414,47
18414,63
18414,69
18414,53
18414,74
18414,40
59426,27
59426,24
57673,46
56421,86
56421,8
56421,45
56421,71
56421,40
56421,96
55990,94
99980,88
99980,68
99980,81
99980,84
99980,83
99980,85
22130,68
22130,5
22130,77
22130,18
22130,6
22130,69
22130,41
22130,99
22130,92
7397,9
7397,78
7397,65
7397,62
7397,92
7397,25
7397,70
7397,53
54883,46
54883,75
54883,79
54883,63
28182,5
28182,49
28182,91
28182,54
28182,29
28182,94
28182,74
70339,94
70339,44
70339,20
70339,8
70339,89
70339,86
70339,91
70339,60
70339,9
8719,58
8719,33
8719,82
8719,80
8719,78
51799,10
73176,33
73176,16
73176,9
73176,95
73176,23
73176,98
73176,14
34189,44
34189,51
34189,32
34189,29
34189,19
34189,34
34189,9
49372,34
49372,21
79501,62
79501,3
79501,25
79501,87
79501,1
79501,10
37413,34
37413,75
37413,68
37413,3
37413,55
37413,15
75053,11
75053,27
75053,5
75053,31
75053,54
75053,9
93083,34
93083,51
93083,48
93083,68
93083,22
93083,91
93083,17
93083,4
93083,50
95298,53
95298,37
95298,28
95298,77
48416,47
48416,93
